Var1,op,Var2,Result
9,p,2,11.0
19,d,19,1.0
14,p,18,32.0
14,s,18,-4.0
10,d,19,0.5263157894736842
16,p,4,20.0
14,m,3,42.0
2,s,16,-14.0
1,d,7,0.14285714285714285
14,s,16,-2.0
11,m,11,121.0
12,m,13,156.0
19,m,1,19.0
2,p,10,12.0
17,m,12,204.0
8,s,19,-11.0
10,s,2,8.0
11,d,9,1.2222222222222223
4,p,19,23.0
9,d,17,0.5294117647058824
20,s,10,10.0
16,d,2,8.0
16,p,11,27.0
11,s,9,2.0
6,d,10,0.6
6,s,7,-1.0
4,m,2,8.0
3,p,16,19.0
10,s,19,-9.0
19,s,12,7.0
5,s,5,0.0
14,d,1,14.0
11,d,7,1.5714285714285714
19,d,9,2.111111111111111
7,s,17,-10.0
9,s,15,-6.0
11,d,18,0.6111111111111112
14,d,9,1.5555555555555556
16,d,16,1.0
5,s,6,-1.0
8,d,1,8.0
11,p,17,28.0
16,m,3,48.0
2,m,5,10.0
14,s,16,-2.0
13,s,2,11.0
14,p,11,25.0
13,d,1,13.0
16,s,11,5.0
12,m,2,24.0
7,m,0,0.0
3,m,20,60.0
4,p,4,8.0
9,s,15,-6.0
15,p,14,29.0
2,m,0,0.0
6,d,4,1.5
3,s,9,-6.0
9,p,3,12.0
7,d,13,0.5384615384615384
2,d,3,0.6666666666666666
19,p,17,36.0
20,s,16,4.0
4,d,9,0.4444444444444444
0,m,19,0.0
7,d,18,0.3888888888888889
5,m,2,10.0
2,p,16,18.0
12,p,15,27.0
20,m,12,240.0
8,m,0,0.0
2,s,11,-9.0
20,m,3,60.0
4,m,1,4.0
17,s,10,7.0
14,s,15,-1.0
4,d,2,2.0
1,s,9,-8.0
1,p,6,7.0
10,d,9,1.1111111111111112
17,m,15,255.0
1,s,20,-19.0
9,p,11,20.0
20,m,10,200.0
3,d,11,0.2727272727272727
12,d,14,0.8571428571428571
10,d,5,2.0
15,m,11,165.0
2,p,13,15.0
13,s,19,-6.0
17,m,9,153.0
3,m,2,6.0
9,d,9,1.0
19,s,13,6.0
14,d,11,1.2727272727272727
1,d,11,0.09090909090909091
8,p,20,28.0
2,d,20,0.1
11,s,16,-5.0
0,d,4,0.0
1,p,4,5.0
7,m,20,140.0
11,p,12,23.0
19,d,4,4.75
11,d,11,1.0
2,s,18,-16.0
16,d,11,1.4545454545454546
10,m,20,200.0
7,p,3,10.0
5,d,15,0.3333333333333333
17,m,3,51.0
8,s,14,-6.0
19,d,9,2.111111111111111
6,s,3,3.0
2,s,14,-12.0
14,m,2,28.0
11,m,2,22.0
9,s,5,4.0
11,s,16,-5.0
3,s,6,-3.0
7,p,15,22.0
11,m,17,187.0
14,s,17,-3.0
19,p,2,21.0
9,d,12,0.75
16,d,13,1.2307692307692308
18,s,2,16.0
10,p,20,30.0
14,m,14,196.0
4,s,17,-13.0
4,p,13,17.0
3,s,16,-13.0
9,s,5,4.0
10,m,7,70.0
16,p,9,25.0
8,m,6,48.0
4,m,20,80.0
19,p,17,36.0
16,s,20,-4.0
18,s,18,0.0
5,m,19,95.0
18,p,1,19.0
2,m,1,2.0
20,d,6,3.3333333333333335
19,p,20,39.0
15,m,20,300.0
20,d,9,2.2222222222222223
7,m,12,84.0
14,p,2,16.0
5,d,14,0.35714285714285715
15,s,14,1.0
10,s,19,-9.0
10,m,10,100.0
12,m,4,48.0
16,p,17,33.0
10,d,7,1.4285714285714286
3,d,8,0.375
7,p,4,11.0
1,d,9,0.1111111111111111
19,s,13,6.0
5,m,10,50.0
6,d,5,1.2
16,d,14,1.1428571428571428
9,p,15,24.0
2,d,12,0.16666666666666666
7,m,6,42.0
1,m,1,1.0
15,d,19,0.7894736842105263
9,p,17,26.0
3,s,13,-10.0
8,d,11,0.7272727272727273
11,d,1,11.0
1,s,18,-17.0
11,m,17,187.0
2,d,12,0.16666666666666666
17,p,8,25.0
4,d,3,1.3333333333333333
11,m,10,110.0
4,d,6,0.6666666666666666
16,p,1,17.0
1,m,4,4.0
15,d,16,0.9375
4,s,19,-15.0
10,m,19,190.0
5,m,12,60.0
18,d,10,1.8
18,d,9,2.0
0,m,11,0.0
3,m,13,39.0
20,d,0,0.0
8,s,20,-12.0
1,d,18,0.05555555555555555
5,d,16,0.3125
4,p,7,11.0
18,s,3,15.0
0,m,14,0.0
13,d,4,3.25
6,d,13,0.46153846153846156
1,s,4,-3.0
17,d,10,1.7
16,m,12,192.0
5,m,14,70.0
17,m,11,187.0
19,s,15,4.0
7,m,8,56.0
7,m,9,63.0
6,m,15,90.0
15,m,11,165.0
9,d,3,3.0
12,s,11,1.0
9,m,1,9.0
2,d,11,0.18181818181818182
20,d,8,2.5
6,m,6,36.0
17,s,8,9.0
3,s,19,-16.0
7,s,1,6.0
20,p,7,27.0
3,m,13,39.0
15,s,3,12.0
0,s,17,-17.0
13,d,20,0.65
15,s,20,-5.0
9,m,10,90.0
20,p,1,21.0
20,s,18,2.0
17,s,1,16.0
13,p,5,18.0
12,s,15,-3.0
9,p,1,10.0
9,p,18,27.0
10,d,9,1.1111111111111112
20,d,17,1.1764705882352942
4,d,16,0.25
8,p,6,14.0
10,d,5,2.0
20,s,8,12.0
0,m,10,0.0
18,s,6,12.0
19,d,20,0.95
13,m,16,208.0
2,p,12,14.0
5,d,4,1.25
10,p,7,17.0
8,s,12,-4.0
14,m,8,112.0
9,p,18,27.0
8,m,20,160.0
7,p,1,8.0
14,s,9,5.0
12,m,16,192.0
3,m,20,60.0
11,s,19,-8.0
7,d,4,1.75
4,m,14,56.0
13,d,17,0.7647058823529411
17,s,6,11.0
19,d,2,9.5
16,p,11,27.0
18,p,3,21.0
17,s,16,1.0
18,s,17,1.0
5,d,10,0.5
3,d,6,0.5
2,d,16,0.125
1,s,14,-13.0
16,d,13,1.2307692307692308
18,d,1,18.0
9,d,0,0.0
8,s,0,8.0
18,p,2,20.0
13,p,11,24.0
17,p,1,18.0
15,m,1,15.0
13,s,5,8.0
20,d,20,1.0
11,d,12,0.9166666666666666
12,p,12,24.0
17,m,4,68.0
3,d,5,0.6
16,s,4,12.0
0,m,0,0.0
14,d,17,0.8235294117647058
17,s,12,5.0
7,m,14,98.0
4,s,8,-4.0
3,d,1,3.0
19,s,0,19.0
6,p,2,8.0
19,d,1,19.0
19,s,1,18.0
1,d,12,0.08333333333333333
7,s,17,-10.0
1,m,4,4.0
7,m,18,126.0
18,m,19,342.0
7,s,9,-2.0
16,d,7,2.2857142857142856
9,p,8,17.0
17,s,18,-1.0
20,d,13,1.5384615384615385
1,d,11,0.09090909090909091
16,d,10,1.6
13,m,4,52.0
12,d,5,2.4
7,m,7,49.0
4,p,14,18.0
17,d,13,1.3076923076923077
17,s,16,1.0
12,m,7,84.0
6,p,10,16.0
14,p,11,25.0
17,p,6,23.0
8,p,12,20.0
2,s,6,-4.0
15,m,6,90.0
9,s,0,9.0
6,d,3,2.0
7,s,19,-12.0
12,m,7,84.0
9,d,12,0.75
17,m,20,340.0
9,m,8,72.0
16,d,15,1.0666666666666667
3,m,15,45.0
6,m,11,66.0
13,s,1,12.0
4,m,0,0.0
17,d,18,0.9444444444444444
9,s,4,5.0
10,d,7,1.4285714285714286
18,d,7,2.5714285714285716
17,m,20,340.0
8,d,15,0.5333333333333333
14,m,5,70.0
5,d,4,1.25
5,p,17,22.0
16,p,1,17.0
1,d,0,0.0
4,s,20,-16.0
2,p,4,6.0
6,d,16,0.375
11,d,1,11.0
15,p,0,15.0
17,d,17,1.0
0,m,0,0.0
17,p,9,26.0
16,s,13,3.0
3,s,3,0.0
7,m,6,42.0
11,d,8,1.375
2,d,11,0.18181818181818182
14,s,18,-4.0
7,p,9,16.0
20,p,20,40.0
2,d,12,0.16666666666666666
12,d,17,0.7058823529411765
1,p,20,21.0
5,d,2,2.5
13,m,20,260.0
18,p,3,21.0
7,d,6,1.1666666666666667
8,p,1,9.0
8,p,17,25.0
5,p,10,15.0
6,s,18,-12.0
12,m,2,24.0
5,s,18,-13.0
18,m,12,216.0
12,p,4,16.0
16,p,11,27.0
3,s,13,-10.0
2,d,10,0.2
10,m,0,0.0
14,s,15,-1.0
11,d,17,0.6470588235294118
13,d,5,2.6
2,m,19,38.0
7,p,2,9.0
8,d,4,2.0
20,d,4,5.0
10,p,11,21.0
2,m,0,0.0
14,m,11,154.0
3,p,4,7.0
5,d,13,0.38461538461538464
17,d,17,1.0
3,p,0,3.0
11,p,17,28.0
19,m,19,361.0
12,m,0,0.0
13,p,12,25.0
17,s,7,10.0
12,s,5,7.0
8,m,9,72.0
15,p,4,19.0
5,m,13,65.0
13,d,9,1.4444444444444444
2,m,11,22.0
7,d,20,0.35
19,s,19,0.0
14,s,3,11.0
9,d,0,0.0
10,d,19,0.5263157894736842
10,m,14,140.0
13,s,20,-7.0
9,s,10,-1.0
15,s,10,5.0
12,m,10,120.0
20,s,15,5.0
10,m,12,120.0
12,p,11,23.0
18,s,6,12.0
17,d,0,0.0
6,m,14,84.0
2,d,13,0.15384615384615385
4,m,20,80.0
7,s,8,-1.0
13,p,12,25.0
14,d,19,0.7368421052631579
18,d,12,1.5
17,m,1,17.0
17,p,19,36.0
3,m,7,21.0
5,p,20,25.0
18,d,20,0.9
10,p,13,23.0
0,m,3,0.0
7,s,16,-9.0
14,d,11,1.2727272727272727
14,s,18,-4.0
11,d,0,0.0
3,d,9,0.3333333333333333
2,s,3,-1.0
11,m,9,99.0
14,d,6,2.3333333333333335
11,p,15,26.0
14,m,14,196.0
2,p,9,11.0
3,m,0,0.0
20,s,3,17.0
7,s,16,-9.0
17,m,5,85.0
17,d,13,1.3076923076923077
7,s,12,-5.0
5,d,20,0.25
12,s,0,12.0
14,d,18,0.7777777777777778
12,s,0,12.0
6,p,8,14.0
18,s,3,15.0
11,s,10,1.0
14,m,3,42.0
15,m,16,240.0
19,d,12,1.5833333333333333
18,m,3,54.0
11,s,14,-3.0
9,p,19,28.0
4,p,10,14.0
7,p,9,16.0
5,s,11,-6.0
16,d,12,1.3333333333333333
19,d,4,4.75
13,d,5,2.6
20,s,17,3.0
17,d,5,3.4
9,s,4,5.0
10,p,14,24.0
11,d,0,0.0
4,d,6,0.6666666666666666
17,d,16,1.0625
13,d,15,0.8666666666666667
14,s,15,-1.0
2,p,18,20.0
7,p,9,16.0
8,m,7,56.0
5,d,14,0.35714285714285715
17,p,16,33.0
18,m,3,54.0
17,p,11,28.0
14,s,17,-3.0
13,s,3,10.0
9,d,1,9.0
8,p,11,19.0
14,s,3,11.0
6,m,18,108.0
19,d,20,0.95
5,s,19,-14.0
6,p,6,12.0
18,m,11,198.0
19,s,17,2.0
10,m,9,90.0
18,p,8,26.0
4,p,13,17.0
8,s,20,-12.0
4,s,7,-3.0
10,d,7,1.4285714285714286
15,m,4,60.0
20,d,13,1.5384615384615385
14,p,2,16.0
12,m,16,192.0
11,d,14,0.7857142857142857
10,p,18,28.0
2,m,14,28.0
2,d,17,0.11764705882352941
6,s,13,-7.0
15,m,8,120.0
9,s,10,-1.0
18,m,15,270.0
1,p,1,2.0
20,p,14,34.0
3,d,5,0.6
14,d,0,0.0
6,m,4,24.0
5,p,8,13.0
20,m,11,220.0
2,s,11,-9.0
1,m,12,12.0
7,p,13,20.0
3,s,0,3.0
15,s,2,13.0
18,d,7,2.5714285714285716
0,m,0,0.0
3,s,13,-10.0
15,s,2,13.0
12,p,2,14.0
3,m,10,30.0
9,d,4,2.25
4,s,20,-16.0
2,p,16,18.0
19,s,20,-1.0
14,s,11,3.0
20,d,4,5.0
19,s,14,5.0
2,s,3,-1.0
3,d,18,0.16666666666666666
11,m,13,143.0
4,m,7,28.0
20,s,2,18.0
17,m,19,323.0
0,s,9,-9.0
16,s,19,-3.0
12,p,9,21.0
7,d,15,0.4666666666666667
3,d,7,0.42857142857142855
20,p,19,39.0
16,m,0,0.0
10,d,4,2.5
18,m,13,234.0
17,d,5,3.4
2,p,0,2.0
0,s,8,-8.0
1,d,1,1.0
16,d,9,1.7777777777777777
13,p,12,25.0
20,s,17,3.0
8,m,2,16.0
2,s,16,-14.0
4,m,17,68.0
12,p,18,30.0
9,s,13,-4.0
1,p,7,8.0
13,d,3,4.333333333333333
19,p,19,38.0
9,p,5,14.0
0,p,4,4.0
5,m,15,75.0
16,m,16,256.0
5,s,11,-6.0
8,p,3,11.0
10,m,13,130.0
16,m,2,32.0
18,p,20,38.0
15,m,14,210.0
1,s,15,-14.0
11,m,5,55.0
3,p,18,21.0
7,p,16,23.0
1,s,0,1.0
1,m,15,15.0
12,s,4,8.0
1,d,17,0.058823529411764705
7,s,10,-3.0
13,m,10,130.0
2,m,18,36.0
3,p,16,19.0
5,p,7,12.0
12,d,2,6.0
9,m,9,81.0
2,d,17,0.11764705882352941
0,s,11,-11.0
9,m,18,162.0
19,d,7,2.7142857142857144
11,d,18,0.6111111111111112
6,s,17,-11.0
4,d,0,0.0
0,m,7,0.0
20,m,0,0.0
0,m,12,0.0
3,s,6,-3.0
13,p,15,28.0
4,p,8,12.0
1,d,7,0.14285714285714285
11,p,14,25.0
18,s,3,15.0
20,p,12,32.0
18,p,18,36.0
13,s,4,9.0
9,m,8,72.0
12,m,10,120.0
14,s,8,6.0
2,s,6,-4.0
18,s,3,15.0
3,d,5,0.6
14,d,10,1.4
3,m,17,51.0
6,m,14,84.0
14,p,8,22.0
2,m,5,10.0
19,s,1,18.0
10,p,4,14.0
7,d,11,0.6363636363636364
16,m,1,16.0
8,p,5,13.0
12,s,14,-2.0
3,p,14,17.0
4,p,3,7.0
1,s,7,-6.0
6,m,12,72.0
20,p,20,40.0
18,m,18,324.0
2,p,0,2.0
6,d,20,0.3
4,m,2,8.0
3,d,1,3.0
1,d,5,0.2
12,p,15,27.0
12,s,13,-1.0
11,s,6,5.0
8,d,8,1.0
4,s,1,3.0
20,d,9,2.2222222222222223
13,d,17,0.7647058823529411
1,m,2,2.0
12,d,4,3.0
6,s,20,-14.0
20,p,17,37.0
12,d,11,1.0909090909090908
17,m,15,255.0
18,m,16,288.0
12,s,8,4.0
0,s,10,-10.0
0,p,8,8.0
15,m,16,240.0
18,s,7,11.0
3,s,7,-4.0
8,p,17,25.0
7,d,18,0.3888888888888889
11,s,5,6.0
7,m,18,126.0
11,p,18,29.0
11,s,18,-7.0
18,d,6,3.0
17,s,9,8.0
15,p,1,16.0
1,s,7,-6.0
0,d,16,0.0
0,s,10,-10.0
4,s,10,-6.0
10,p,1,11.0
4,s,18,-14.0
3,m,16,48.0
2,d,11,0.18181818181818182
18,m,3,54.0
9,s,10,-1.0
5,d,13,0.38461538461538464
20,s,10,10.0
17,m,19,323.0
7,s,18,-11.0
12,m,9,108.0
4,p,5,9.0
18,p,12,30.0
5,m,19,95.0
19,p,7,26.0
15,m,4,60.0
2,m,7,14.0
10,p,5,15.0
20,d,10,2.0
0,s,8,-8.0
7,m,2,14.0
8,p,3,11.0
1,d,12,0.08333333333333333
13,d,5,2.6
15,m,12,180.0
17,p,12,29.0
15,s,18,-3.0
5,p,14,19.0
1,p,9,10.0
10,p,8,18.0
2,s,10,-8.0
12,p,5,17.0
17,m,2,34.0
19,d,19,1.0
0,s,13,-13.0
19,s,13,6.0
1,m,3,3.0
6,d,6,1.0
17,m,17,289.0
9,s,9,0.0
3,d,1,3.0
18,d,17,1.0588235294117647
4,m,1,4.0
0,p,13,13.0
9,d,20,0.45
6,p,3,9.0
6,m,5,30.0
2,p,15,17.0
9,d,12,0.75
15,p,8,23.0
20,d,17,1.1764705882352942
5,d,11,0.45454545454545453
11,d,5,2.2
1,d,8,0.125
14,s,8,6.0
8,p,18,26.0
4,p,3,7.0
11,d,17,0.6470588235294118
18,p,7,25.0
12,d,16,0.75
17,s,15,2.0
15,p,9,24.0
12,s,1,11.0
3,s,14,-11.0
5,s,6,-1.0
4,d,1,4.0
2,s,13,-11.0
20,m,4,80.0
10,p,2,12.0
12,d,17,0.7058823529411765
17,m,10,170.0
16,p,14,30.0
19,d,18,1.0555555555555556
3,s,13,-10.0
4,p,18,22.0
3,p,18,21.0
9,m,17,153.0
13,d,8,1.625
20,d,15,1.3333333333333333
1,m,5,5.0
12,d,4,3.0
1,m,12,12.0
7,d,1,7.0
8,p,11,19.0
10,m,9,90.0
8,p,15,23.0
7,m,4,28.0
14,m,10,140.0
13,p,19,32.0
6,s,14,-8.0
13,m,15,195.0
1,s,16,-15.0
2,d,9,0.2222222222222222
4,p,16,20.0
5,s,6,-1.0
1,p,7,8.0
14,m,1,14.0
6,m,8,48.0
14,d,16,0.875
20,p,3,23.0
7,d,11,0.6363636363636364
19,s,14,5.0
15,m,18,270.0
11,m,5,55.0
2,p,9,11.0
12,s,1,11.0
18,s,6,12.0
20,s,7,13.0
8,d,20,0.4
16,p,0,16.0
15,s,4,11.0
19,s,0,19.0
8,m,19,152.0
20,d,8,2.5
12,d,11,1.0909090909090908
8,d,6,1.3333333333333333
9,d,16,0.5625
18,p,3,21.0
16,m,11,176.0
9,d,3,3.0
2,m,10,20.0
20,m,10,200.0
8,m,20,160.0
6,s,4,2.0
1,d,19,0.05263157894736842
10,p,4,14.0
20,m,15,300.0
8,d,13,0.6153846153846154
12,s,1,11.0
10,d,7,1.4285714285714286
11,m,16,176.0
5,s,17,-12.0
9,d,3,3.0
4,s,8,-4.0
10,p,20,30.0
7,s,11,-4.0
9,m,13,117.0
